,PP_SA_min_eigenvalue,PP_SA_eigenval_prob,PP_SA_yi,PP_SA_xij,PP_SA_runtime,PP_SA_assignment,PP_SA_real_weights_sum,PP_SA_placed_weights_sum,PP_SA_used_items,PP_SA_feasible,PP_SA_reason,PP_SA_penalties_dict_A,PP_SA_penalties_dict_B
34,2110.000000,0.001000,"['1', '4', '2', '3', '0']","['1', '4', '2', '3', '0']",102.208853,"[('0', 13), ('1', 8), ('2', 8), ('3', 27), ('4', 8)]",31,64,"[1, 4, 3, 3, 0, 1, 2, 3, 3]",False,"['real_weights_sum:31 != placed_weights_sum:64; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,2.000000
35,3412.000000,0.001000,"['1', '4', '2', '3', '0', '5']","['1', '4', '2', '3', '0', '5']",114.997625,"[('0', 19), ('1', 8), ('2', 19), ('3', 19), ('4', 6), ('5', 9)]",40,80,"[1, 4, 5, 4, 0, 3, 5, 1, 4, 5, 5, 0, 1]",False,"['real_weights_sum:40 != placed_weights_sum:80; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,2.000000
36,3910.000000,0.001000,"['1', '3', '5', '0', '6']","['1', '3', '5', '0', '6']",142.734051,"[('0', 17), ('1', 17), ('3', 24), ('5', 17), ('6', 14)]",52,89,"[5, 6, 0, 5, 0, 2, 6, 5, 6, 1, 6]",False,"['real_weights_sum:52 != placed_weights_sum:89; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,2.000000
37,4816.000000,0.001000,"['1', '4', '2', '3', '0', '5', '6', '7']","['1', '4', '2', '3', '0', '5', '6', '7']",167.517424,"[('0', 16), ('1', 8), ('2', 17), ('3', 4), ('4', 23), ('5', 20), ('6', 12), ('7', 13)]",53,113,"[0, 3, 6, 1, 6, 4, 0, 2, 3, 2, 4, 5, 7, 5, 6, 6, 7]",False,"['real_weights_sum:53 != placed_weights_sum:113; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,2.000000
38,6418.000000,0.001000,"['1', '4', '8', '2', '3', '0', '5', '6', '7']","['1', '4', '8', '2', '3', '0', '5', '6', '7']",200.762033,"[('0', 13), ('1', 21), ('2', 9), ('3', 16), ('4', 26), ('5', 18), ('6', 18), ('7', 23), ('8', 11)]",62,155,"[6, 7, 5, 7, 8, 6, 8, 1, 5, 1, 2, 3, 6, 7, 8, 0, 6, 7, 2, 3, 4, 0, 4]",False,"['real_weights_sum:62 != placed_weights_sum:155; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,2.000000
39,8318.000000,0.001000,"['9', '8', '4', '2', '3', '0', '5', '6', '7']","['9', '8', '4', '2', '3', '0', '5', '6', '7']",246.871710,"[('0', 18), ('2', 8), ('3', 33), ('4', 5), ('5', 20), ('6', 13), ('7', 18), ('8', 16), ('9', 27)]",65,158,"[5, 6, 7, 5, 0, 2, 6, 7, 8, 8, 4, 5, 8, 8, 9, 5, 6, 7, 5, 9, 0, 1, 2, 3]",False,"['real_weights_sum:65 != placed_weights_sum:158; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,2.000000
0,610.000000,0.003000,"['0', '1']","['0', '1']",55.526018,"[('0', 18), ('1', 18)]",18,36,"[0, 1, 2, 0, 1, 2]",False,"['real_weights_sum:18 != placed_weights_sum:36; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
1,1215.000000,0.001000,"['2', '0', '1']","['2', '0', '1']",61.117411,"[('0', 11), ('1', 7), ('2', 23)]",23,41,"[2, 3, 0, 0, 1, 2, 3]",False,"['real_weights_sum:23 != placed_weights_sum:41; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
2,2420.000000,0.001000,"['2', '3', '0', '1']","['2', '3', '0', '1']",101.471901,"[('0', 16), ('1', 9), ('2', 11), ('3', 22)]",31,58,"[2, 4, 4, 1, 2, 0, 1, 2, 3]",False,"['real_weights_sum:31 != placed_weights_sum:58; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
3,3325.000000,0.001000,"['1', '4', '3', '5', '0']","['1', '4', '3', '5', '0']",117.444515,"[('0', 22), ('1', 19), ('3', 24), ('4', 9), ('5', 15)]",33,89,"[2, 3, 4, 5, 0, 3, 5, 0, 1, 2, 5, 1, 4, 1, 2, 3]",False,"['real_weights_sum:33 != placed_weights_sum:89; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
4,5635.000000,0.001000,"['1', '4', '2', '3', '0', '5', '6']","['1', '4', '2', '3', '0', '5', '6']",143.908024,"[('0', 14), ('1', 22), ('2', 12), ('3', 22), ('4', 12), ('5', 20), ('6', 20)]",48,122,"[0, 1, 2, 4, 6, 5, 6, 2, 3, 4, 3, 5, 2, 3, 5, 1, 2, 3]",False,"['real_weights_sum:48 != placed_weights_sum:122; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
5,5940.000000,0.001000,"['1', '4', '2', '3', '0', '5', '6', '7']","['1', '4', '2', '3', '0', '5', '6', '7']",196.286201,"[('0', 13), ('1', 10), ('2', 19), ('3', 5), ('4', 19), ('5', 20), ('6', 10), ('7', 14)]",38,110,"[0, 1, 3, 5, 6, 0, 1, 5, 6, 4, 0, 1, 2, 3, 1, 2, 4, 7, 5, 6, 5, 6, 7]",False,"['real_weights_sum:38 != placed_weights_sum:110; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
6,8445.000000,0.001000,"['1', '4', '8', '2', '3', '0', '5', '6', '7']","['1', '4', '8', '2', '3', '0', '5', '6', '7']",229.749441,"[('0', 12), ('1', 19), ('2', 16), ('3', 13), ('4', 12), ('5', 28), ('6', 12), ('7', 20), ('8', 24)]",52,156,"[4, 7, 3, 4, 5, 8, 0, 1, 5, 3, 7, 8, 5, 6, 3, 4, 6, 7, 8, 6, 8, 0, 1, 2, 0, 1, 2, 8]",False,"['real_weights_sum:52 != placed_weights_sum:156; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,5.000000
