,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_SA_min_eigenvalue,AL_SA_eigenval_prob,AL_SA_yi,AL_SA_xij,AL_SA_runtime,AL_SA_assignment,AL_SA_real_weights_sum,AL_SA_placed_weights_sum,AL_SA_used_items,AL_SA_feasible,AL_SA_reason,AL_SA_penalties_dict_delta,AL_SA_penalties_dict_theta,AL_SA_penalties_dict_lmbd,AL_SA_penalties_dict_rho,AL_SA_penalties_dict_gamma
10,bpp_5_10,42,10,"[8, 5, 4, 7, 9]",5,4,9,4,4.000000,"[1, 0, 0, 4, 3]",718.000000,"{1: 8, 0: 9, 4: 7, 3: 9}",0.044700,0.390000,"['3', '2', '0', '4']","['3', '2', '0', '4']",675.453663,"[('0', 8), ('2', 9), ('3', 9), ('4', 7)]",33,33,"[0, 4, 1, 2, 3]",True,[],0.150000,2,0.138900,0.027800,1
11,bpp_6_10,42,10,"[8, 8, 8, 8, 7, 4]",6,4,8,5,6.000000,"[5, 2, 0, 4, 1, 3]",636.000000,"{5: 8, 2: 8, 0: 8, 4: 8, 1: 7, 3: 4}",0.234500,0.029000,"['2', '0', '4', '1', '5', '3']","['2', '0', '4', '1', '5', '3']",917.293549,"[('0', 8), ('1', 8), ('2', 8), ('3', 8), ('4', 4), ('5', 7)]",43,43,"[1, 3, 2, 0, 5, 4]",True,[],0.150000,2,0.138900,0.027800,1
12,bpp_7_10,42,10,"[9, 6, 7, 6, 5, 9, 8]",7,5,9,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",716.000000,"{0: 9, 2: 6, 6: 7, 4: 6, 3: 5, 5: 9, 1: 8}",0.490000,0.001000,"['2', '0', '4', '1', '5', '6', '3']","['2', '0', '4', '1', '5', '6', '3']",1283.126116,"[('0', 7), ('1', 6), ('2', 9), ('3', 9), ('4', 8), ('5', 6), ('6', 5)]",50,50,"[2, 3, 0, 5, 6, 1, 4]",True,[],0.150000,2,0.100000,0.020000,1
13,bpp_8_10,42,10,"[7, 6, 8, 7, 6, 6, 5, 4]",8,4,8,5,7.000000,"[6, 0, 4, 3, 1, 5, 7, 0]",4576.000000,"{6: 7, 0: 10, 4: 8, 3: 7, 1: 6, 5: 6, 7: 5}",0.106900,0.001000,"['2', '0', '7', '4', '1', '5', '3']","['2', '0', '7', '4', '1', '5', '3']",1613.905430,"[('0', 8), ('1', 6), ('2', 6), ('3', 7), ('4', 6), ('5', 7), ('7', 9)]",49,49,"[2, 4, 1, 3, 5, 0, 6, 7]",True,[],0.150000,2,0.138900,0.027800,1
14,bpp_9_10,42,10,"[7, 9, 4, 9, 8, 5, 7, 4, 8]",9,4,9,7,8.000000,"[2, 7, 6, 1, 5, 8, 0, 8, 3]",1377.000000,"{2: 7, 7: 9, 6: 4, 1: 9, 5: 8, 8: 9, 0: 7, 3: 8}",0.145500,0.004000,"['2', '0', '8', '4', '1', '5', '6', '3']","['2', '0', '8', '4', '1', '5', '6', '3']",2000.858545,"[('0', 8), ('1', 9), ('2', 8), ('3', 7), ('4', 7), ('5', 5), ('6', 8), ('8', 9)]",61,61,"[4, 3, 8, 6, 0, 5, 2, 7, 1]",True,[],0.150000,2,0.138900,0.027800,1
15,bpp_10_10,42,10,"[8, 6, 4, 9, 6, 9, 8, 8, 8, 5]",10,4,9,8,9.000000,"[9, 2, 1, 7, 0, 5, 6, 3, 4, 1]",2330.000000,"{9: 8, 2: 6, 1: 9, 7: 9, 0: 6, 5: 9, 6: 8, 3: 8, 4: 8}",0.128700,0.001000,"['2', '0', '7', '8', '1', '5', '6', '3', '9']","['2', '0', '7', '8', '1', '5', '6', '3', '9']",4225.749731,"[('0', 8), ('1', 9), ('2', 6), ('3', 9), ('5', 8), ('6', 8), ('7', 8), ('8', 6), ('9', 9)]",71,71,"[8, 2, 9, 4, 3, 7, 0, 6, 1, 5]",True,[],0.150000,2,0.138900,0.027800,1
16,bpp_3_10,123,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",433.000000,"{2: 4, 0: 8, 1: 7}",0.284300,0.145000,"['2', '0', '1']","['2', '0', '1']",408.870935,"[('0', 8), ('1', 4), ('2', 7)]",19,19,"[1, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1
17,bpp_4_10,123,10,"[4, 9, 5, 5]",4,4,9,3,3.000000,"[2, 0, 2, 3]",554.000000,"{2: 9, 0: 9, 3: 5}",0.228300,0.137000,"['3', '2', '1']","['3', '2', '1']",553.275585,"[('1', 5), ('2', 9), ('3', 9)]",23,23,"[3, 0, 2, 1]",True,[],0.150000,2,0.138900,0.027800,1
18,bpp_5_10,123,10,"[5, 6, 5, 6, 8]",5,5,8,3,4.000000,"[0, 4, 0, 3, 2]",1072.000000,"{0: 10, 4: 6, 3: 6, 2: 8}",0.320000,0.003000,"['3', '0', '1', '4']","['3', '0', '1', '4']",686.810493,"[('0', 10), ('1', 6), ('3', 6), ('4', 8)]",30,30,"[0, 2, 1, 3, 4]",True,[],0.150000,2,0.100000,0.020000,1
19,bpp_6_10,123,10,"[6, 9, 6, 5, 8, 8]",6,5,9,5,6.000000,"[5, 2, 0, 4, 1, 3]",619.000000,"{5: 6, 2: 9, 0: 6, 4: 5, 1: 8, 3: 8}",0.420000,0.001000,"['2', '0', '4', '1', '5', '3']","['2', '0', '4', '1', '5', '3']",937.187672,"[('0', 6), ('1', 9), ('2', 8), ('3', 8), ('4', 6), ('5', 5)]",42,42,"[2, 1, 5, 4, 0, 3]",True,[],0.150000,2,0.100000,0.020000,1
