index,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_QA_min_eigenvalue,AL_QA_eigenval_prob,AL_QA_yi,AL_QA_xij,AL_QA_runtime,AL_QA_assignment,AL_QA_real_weights_sum,AL_QA_placed_weights_sum,AL_QA_used_items,AL_QA_feasible,AL_QA_reason,AL_QA_penalties_dict_delta,AL_QA_penalties_dict_theta,AL_QA_penalties_dict_lmbd,AL_QA_penalties_dict_rho,AL_QA_penalties_dict_gamma,AL_QA_runtime_metrics_qpu_sampling_time,AL_QA_runtime_metrics_qpu_anneal_time_per_sample,AL_QA_runtime_metrics_qpu_readout_time_per_sample,AL_QA_runtime_metrics_qpu_access_time,AL_QA_runtime_metrics_qpu_access_overhead_time,AL_QA_runtime_metrics_qpu_programming_time,AL_QA_runtime_metrics_qpu_delay_time_per_sample,AL_QA_runtime_metrics_total_post_processing_time,AL_QA_runtime_metrics_post_processing_overhead_time,AL_QA_cbf,AL_QA_logiqu,AL_QA_physiqu,AL_QA_qubo_time
10,bpp_5_10,42,10,"[8, 5, 4, 7, 9]",5,4,9,4,4.000000,"[1, 0, 0, 4, 3]",1111.334000,"{1: 8, 0: 9, 4: 7, 3: 9}",0.044700,0.001412,"['3', '4', '0', '1']","['3', '4', '0', '1']",110280.000000,"[('0', 9), ('1', 7), ('3', 9), ('4', 8)]",33,33,"[1, 2, 3, 4, 0]",True,[],0.150000,2,0.138900,0.027800,1,110280.000000,20.000000,69.740000,126043.570000,1891.430000,15763.570000,20.540000,618.000000,618.000000,0.000000,30,70,634.193420
11,bpp_6_10,42,10,"[8, 8, 8, 8, 7, 4]",6,4,8,5,6.000000,"[5, 2, 0, 4, 1, 3]",660.382000,"{5: 8, 2: 8, 0: 8, 4: 8, 1: 7, 3: 4}",0.234500,0.001055,"['5', '3', '2', '4', '1', '0']","['5', '3', '2', '4', '1', '0']",159360.000000,"[('0', 8), ('1', 8), ('2', 8), ('3', 8), ('4', 4), ('5', 7)]",43,43,"[0, 1, 3, 2, 5, 4]",True,[],0.150000,2,0.138900,0.027800,1,159360.000000,20.000000,118.820000,175120.770000,2259.230000,15760.770000,20.540000,712.000000,712.000000,0.000000,42,131,1030.445099
12,bpp_7_10,42,10,"[9, 6, 7, 6, 5, 9, 8]",7,5,9,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",626.364000,"{0: 9, 2: 6, 6: 7, 4: 6, 3: 5, 5: 9, 1: 8}",0.490000,0.001006,"['5', '3', '2', '6', '4', '1', '0']","['5', '3', '2', '6', '4', '1', '0']",121640.000000,"[('0', 5), ('1', 6), ('2', 7), ('3', 9), ('4', 8), ('5', 6), ('6', 9)]",50,50,"[4, 1, 2, 5, 6, 3, 0]",True,[],0.150000,2,0.100000,0.020000,1,121640.000000,20.000000,81.100000,137403.970000,1757.030000,15763.970000,20.540000,1471.000000,1471.000000,0.000000,56,218,2834.081650
13,bpp_8_10,42,10,"[7, 6, 8, 7, 6, 6, 5, 4]",8,4,8,5,7.000000,"[6, 0, 4, 3, 1, 5, 7, 0]",5319.332000,"{6: 7, 0: 10, 4: 8, 3: 7, 1: 6, 5: 6, 7: 5}",0.106900,0.001000,"['5', '3', '2', '6', '4', '1', '7']","['5', '3', '2', '6', '4', '1', '7']",185700.000000,"[('1', 9), ('2', 7), ('3', 8), ('4', 6), ('5', 6), ('6', 7), ('7', 6)]",49,49,"[6, 7, 3, 2, 5, 1, 0, 4]",True,[],0.150000,2,0.138900,0.027800,1,185700.000000,20.000000,145.160000,201463.170000,2684.830000,15763.170000,20.540000,1320.000000,1320.000000,0.013889,72,393,2125.024796
14,bpp_9_10,42,10,"[7, 9, 4, 9, 8, 5, 7, 4, 8]",9,4,9,7,8.000000,"[2, 7, 6, 1, 5, 8, 0, 8, 3]",1631.603000,"{2: 7, 7: 9, 6: 4, 1: 9, 5: 8, 8: 9, 0: 7, 3: 8}",0.812700,0.001000,"['5', '3', '2', '6', '4', '1', '8', '7']","['5', '3', '2', '6', '4', '1', '8', '7']",198220.000000,"[('1', 8), ('2', 11), ('3', 4), ('4', 5), ('5', 9), ('6', 8), ('7', 9), ('8', 7)]",61,61,"[8, 2, 6, 7, 5, 1, 4, 3, 0]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,198220.000000,20.000000,157.680000,213980.370000,3045.630000,15760.370000,20.540000,4196.000000,4196.000000,0.000000,90,591,5232.572556
15,bpp_10_10,42,10,"[8, 6, 4, 9, 6, 9, 8, 8, 8, 5]",10,4,9,8,9.000000,"[9, 2, 1, 7, 0, 5, 6, 3, 4, 1]",2224.401000,"{9: 8, 2: 6, 1: 9, 7: 9, 0: 6, 5: 9, 6: 8, 3: 8, 4: 8}",0.922900,0.001000,"['5', '3', '2', '4', '1', '0', '9', '7']","['5', '3', '2', '4', '1', '0', '9', '7']",201000.000000,"[('0', 6), ('1', 9), ('2', 8), ('3', 9), ('4', 8), ('5', 8), ('7', 12), ('9', 11)]",71,71,"[1, 5, 0, 3, 8, 6, 2, 7, 4, 9]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,201000.000000,20.000000,160.460000,216767.170000,3099.830000,15767.170000,20.540000,5377.000000,5377.000000,0.018182,110,798,7731.676102
16,bpp_3_10,123,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",591.281000,"{2: 4, 0: 8, 1: 7}",0.284300,0.081081,"['2', '0', '1']","['2', '0', '1']",84900.000000,"[('0', 7), ('1', 4), ('2', 8)]",19,19,"[2, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1,84900.000000,20.000000,44.360000,100663.170000,2324.830000,15763.170000,20.540000,426.000000,426.000000,0.000000,12,15,220.060349
17,bpp_4_10,123,10,"[4, 9, 5, 5]",4,4,9,3,3.000000,"[2, 0, 2, 3]",751.731000,"{2: 9, 0: 9, 3: 5}",0.228300,0.008264,"['3', '0', '1']","['3', '0', '1']",195200.000000,"[('0', 9), ('1', 5), ('3', 9)]",23,23,"[1, 2, 0, 3]",True,[],0.150000,2,0.138900,0.027800,1,195200.000000,20.000000,154.660000,210961.570000,1520.430000,15761.570000,20.540000,1222.000000,1222.000000,0.000000,20,36,397.682190
18,bpp_5_10,123,10,"[5, 6, 5, 6, 8]",5,5,8,3,4.000000,"[0, 4, 0, 3, 2]",988.541000,"{0: 10, 4: 6, 3: 6, 2: 8}",0.320000,0.017052,"['3', '2', '4', '1']","['3', '2', '4', '1']",100140.000000,"[('1', 8), ('2', 10), ('3', 6), ('4', 6)]",30,30,"[4, 0, 2, 3, 1]",True,[],0.150000,2,0.100000,0.020000,1,100140.000000,20.000000,59.600000,115901.970000,3143.030000,15761.970000,20.540000,1447.000000,1447.000000,0.000000,30,72,611.066818
19,bpp_6_10,123,10,"[6, 9, 6, 5, 8, 8]",6,5,9,5,6.000000,"[5, 2, 0, 4, 1, 3]",560.752000,"{5: 6, 2: 9, 0: 6, 4: 5, 1: 8, 3: 8}",0.420000,0.004128,"['5', '3', '2', '4', '1', '0']","['5', '3', '2', '4', '1', '0']",90760.000000,"[('0', 5), ('1', 6), ('2', 9), ('3', 6), ('4', 8), ('5', 8)]",42,42,"[3, 2, 1, 0, 5, 4]",True,[],0.150000,2,0.100000,0.020000,1,90760.000000,20.000000,50.220000,106522.770000,1255.230000,15762.770000,20.540000,897.000000,897.000000,0.023810,42,136,1076.936722
